"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7e-5p",46.636576629107,-9.10405176285207,0.829272232811686,-10.9783631992408,4.85643197497869e-28,3.17032244658721e-27
"hsa-mir-629",27.6228379522757,8.99248065874929,0.820316317380526,10.9622111229782,5.8063129177595e-28,3.74829756135363e-27
"hsa-let-7e",42.7312252964432,9.59491974451285,0.879897032207563,10.9045938255301,1.09581560281706e-27,6.99636115644742e-27
"hsa-mir-181a-1",104.604140707582,10.8405546637762,0.996384727501453,10.879888425187,1.43738796719105e-27,9.07741748845653e-27
"hsa-miR-425-5p",222.397152217784,-9.92364530696257,0.916103300909617,-10.8324522978022,2.41596927527514e-27,1.50933134294071e-26
"hsa-miR-16-5p",69.0354349995438,-9.82599798014637,0.911658900047436,-10.778151762282,4.36569328760419e-27,2.69837000010429e-26
"hsa-mir-30c-1",16.381936104315,8.2646490837067,0.768941009810811,10.7480924781735,6.04998200721187e-27,3.66149952728135e-26
"hsa-mir-30c-2",16.381936104315,8.2646490837067,0.768941009810811,10.7480924781735,6.04998200721187e-27,3.66149952728135e-26
"hsa-miR-484",53.5360857805789,-9.41837625919108,0.878213313419969,-10.7244744702329,7.81299322906212e-27,4.67974130524236e-26
"hsa-mir-191",90.0918566192834,10.6246673449733,0.996416612374987,10.6628765649031,1.51827480976135e-26,9.00120065787085e-26
"hsa-miR-193a-5p",60.7234849440615,-10.3611566092105,0.977181981737238,-10.6030982998586,2.88268714628199e-26,1.69175882019175e-25
"hsa-miR-574-5p",50.2927323235035,-8.87491364561845,0.84979349947043,-10.443612067107,1.56731142084608e-25,9.1060793551157e-25
"hsa-mir-182",54.8406440298081,9.92413554733611,0.953543217916247,10.4076410600697,2.28821370288032e-25,1.3162892686866e-24
"hsa-let-7d-5p",46.3330994104117,-9.55105036114351,0.923008460745048,-10.3477386907526,4.28486647417665e-25,2.4406935504869e-24
"hsa-mir-139",108.237213721612,10.8678420043292,1.06501603805501,10.2043928128788,1.89502714042339e-24,1.06894249377281e-23
"hsa-mir-183",29.4855201899294,9.0550739929516,0.890311671440753,10.1706787447795,2.68034329613819e-24,1.49738409140028e-23
