"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-7977",8.76253647052227,6.50233417480109,1.88764784936855,3.44467543402029,0.000571745475195786,0.00545540474249312
"hsa-miR-4516",11.7960397258031,4.4407467481559,1.34120004698569,3.31102489754331,0.000929549376708955,0.00868844111291227
"hsa-miR-92a-1-5p",22.1880964471611,3.8481836850944,1.17805485729432,3.26655729252937,0.00108863777003263,0.00997192197349889
"hsa-miR-10396b-3p",4.14243772577038,4.79135545256299,1.48737350236616,3.22135324109294,0.00127586787440758,0.011457793852523
"hsa-miR-942-5p",6.77273749704193,3.84523191019665,1.19714776650995,3.21199439013837,0.00131816949264314,0.0116100313005877
"hsa-miR-140-5p",4.20941491885603,3.07946898992659,0.967932672123179,3.18149090181212,0.00146519124922068,0.0126614640026995
"hsa-miR-185-5p",119.133130024028,-2.48394098870291,0.785277771352796,-3.16313676423546,0.00156078989396074,0.0132378105821114
"hsa-miR-4284",1.607653093226,4.72537706547738,1.49699088230511,3.15658373162641,0.00159629049209747,0.0132927462796481
"hsa-miR-155-5p",737.998761391097,2.64536759504368,0.842986190685591,3.13809125733393,0.00170051924379197,0.0139078181010129
"hsa-miR-1246",483.699259560872,-2.5510765272517,0.822076899559693,-3.10320911415716,0.00191434322007306,0.0153819156981309
"hsa-miR-181b-5p",350.449078503294,2.21864460901135,0.739827793291726,2.99886626202552,0.00270986227976285,0.0213985676574377
"hsa-miR-1248",20.0792597472553,4.57470565827374,1.53102822136895,2.98799564529472,0.0028081355550564,0.0216506812836052
"hsa-miR-1843",6.28597311554541,-3.23548797436712,1.08393713245499,-2.98494061831714,0.00283633379261204,0.0216506812836052
"hsa-miR-1285-5p",3.68239949074977,4.21344634073753,1.43668073098415,2.93276456617557,0.0033595854693924,0.0252244286062577
"hsa-miR-1255a",3.28975685255988,3.95741801074684,1.36454463636695,2.90017483142459,0.00372954574888507,0.0275505153707962
"hsa-miR-21-5p",18975.6835902063,1.85820322010235,0.656265570905351,2.83148058115996,0.00463330469106975,0.0333329170976698
"hsa-miR-4485-3p",2.64864256570203,5.0924090079116,1.79957214816618,2.82978874345267,0.004657874878277,0.0333329170976698
"hsa-miR-134-5p",96.7127559957321,-2.25097190386218,0.797656061176783,-2.82198307443602,0.00477276961106185,0.0336296689517896
"hsa-miR-96-5p",14.1911289915967,2.08425230027131,0.757324861344129,2.75212449327505,0.00592100072452424,0.0410881565429106
"hsa-miR-425-5p",222.397152217784,2.04753940722982,0.751771038370257,2.72362102651443,0.00645705526132878,0.044139273278934
"hsa-miR-30b-5p",8.4711254502876,-3.25904178764387,1.20337376729125,-2.70825397414126,0.00676382400090797,0.0455563440061154
"hsa-miR-34c-5p",9.45277085922449,2.39277640434197,0.890560640587421,2.68682029644121,0.0072135750380844,0.0478814111223573
"hsa-miR-146b-5p",5132.56731505786,2.22731136722745,0.83105664214847,2.68009574109094,0.00736011057105918,0.0481561520220729
"hsa-miR-1260b",5.04289727637797,-3.37673315958115,1.26531558992002,-2.6686884967525,0.00761480367396199,0.0491208462348534
